NAME,ID,YYMMDD,YEAR,HOUR,Wind_Speed,DELV24,PER,SHRD,POT,PC2
DANI,AL041998,980826,1998,18,80,5,-10,17.3,-49,-99
DANI,AL041998,980827,1998,0,80,0,-5,14.6,-47,-76
DANI,AL041998,980827,1998,6,85,-5,5,10.3,-45,-99
DANI,AL041998,980827,1998,12,90,-10,10,11.1,-41,-111
DANI,AL041998,980827,1998,18,85,-5,0,3.1,-46,-96
DANI,AL041998,980828,1998,0,80,-5,-10,8.9,-54,-80
DANI,AL041998,980828,1998,6,80,-10,-5,13.9,-56,-11
DANI,AL041998,980828,1998,12,80,-10,0,4.6,-61,-37
DANI,AL041998,980828,1998,18,80,-10,0,5.5,-63,-36
DANI,AL041998,980829,1998,0,75,-10,-5,3.0,-58,-44
DANI,AL041998,980829,1998,6,70,-5,-10,2.4,-61,-7
DANI,AL041998,980829,1998,12,70,-5,-5,7.0,-58,-78
DANI,AL041998,980829,1998,18,70,-5,0,12.0,-48,-86
DANI,AL041998,980830,1998,0,65,5,-5,8.7,-50,-35
DANI,AL041998,980830,1998,6,65,10,-5,5.2,-52,40
DANI,AL041998,980830,1998,12,65,25,0,6.9,-55,50
DANI,AL041998,980830,1998,18,65,20,0,5.0,-55,-57
DANI,AL041998,980831,1998,0,70,15,5,7.7,-50,-49
DANI,AL041998,980831,1998,6,75,10,10,9.8,-47,14
DANI,AL041998,980831,1998,12,90,-5,20,10.9,-30,-2
DANI,AL041998,980831,1998,18,85,5,10,15.3,-26,-13
DANI,AL041998,980901,1998,0,85,-5,-5,17.7,-27,-19
DANI,AL041998,980901,1998,6,85,-10,0,16.9,-32,-39
DANI,AL041998,980901,1998,12,85,-15,0,33.0,-36,-33
DANI,AL041998,980901,1998,18,90,-20,5,26.0,-28,-77
DANI,AL041998,980902,1998,0,80,-10,-5,34.0,-41,-68
DANI,AL041998,980902,1998,6,75,-5,-15,39.7,-46,-72
DANI,AL041998,980902,1998,12,70,0,-10,25.8,-53,-56
DANI,AL041998,980902,1998,18,70,-5,-5,23.0,-38,-54
DANI,AL041998,980903,1998,0,70,9999,0,26.5,-31,-3
DANI,AL041998,980903,1998,6,70,9999,0,27.0,17,-17
DANI,AL041998,980903,1998,12,70,9999,0,32.5,44,-6
DANI,AL041998,980903,1998,18,65,9999,-5,31.2,56,2
EARL,AL051998,980831,1998,12,30,15,9999,9.1,-128,-3
EARL,AL051998,980831,1998,18,35,15,9999,8.8,-115,1
EARL,AL051998,980901,1998,0,35,15,5,8.5,-114,-8
EARL,AL051998,980901,1998,6,40,10,5,16.4,-117,40
EARL,AL051998,980901,1998,12,45,25,10,14.0,-117,-125
EARL,AL051998,980901,1998,18,50,35,10,11.3,-102,-19
EARL,AL051998,980902,1998,0,50,30,5,22.9,-102,-37
EARL,AL051998,980902,1998,6,50,20,0,25.5,-113,-54
EARL,AL051998,980902,1998,12,70,-25,20,32.2,-99,-84
EARL,AL051998,980902,1998,18,85,9999,35,25.1,-75,-20
EARL,AL051998,980903,1998,0,80,9999,10,31.2,-78,44
EARL,AL051998,980903,1998,6,70,9999,-15,31.8,-77,87
EARL,AL051998,980903,1998,12,45,9999,9999,32.9,-82,53
FRAN,AL061998,980908,1998,18,30,5,9999,18.4,-118,9999
FRAN,AL061998,980909,1998,0,30,10,9999,19.9,-115,63
FRAN,AL061998,980909,1998,6,30,10,0,15.9,-123,42
FRAN,AL061998,980909,1998,12,30,15,0,15.4,-127,41
FRAN,AL061998,980909,1998,18,35,10,5,11.0,-112,74
FRAN,AL061998,980910,1998,0,40,15,10,7.1,-95,3
FRAN,AL061998,980910,1998,6,40,5,5,2.2,-115,37
FRAN,AL061998,980910,1998,12,45,-5,5,0.8,-120,63
FRAN,AL061998,980910,1998,18,45,-10,5,7.6,-112,-90
FRAN,AL061998,980911,1998,0,55,-25,10,11.2,-100,-77
FRAN,AL061998,980911,1998,6,45,-15,0,12.0,-78,-66
FRAN,AL061998,980911,1998,12,40,-10,9999,12.8,-85,-32
FRAN,AL061998,980911,1998,18,35,-5,9999,8.2,-118,46
FRAN,AL061998,980912,1998,0,30,-5,9999,11.7,-97,90
FRAN,AL061998,980912,1998,6,30,-10,9999,17.8,-86,140
FRAN,AL061998,980912,1998,12,30,-10,9999,20.3,-71,139
FRAN,AL061998,980912,1998,18,30,-10,9999,15.5,-69,145
FRAN,AL061998,980913,1998,0,25,9999,9999,13.8,-72,145
FRAN,AL061998,980913,1998,6,20,9999,9999,17.2,-66,174
FRAN,AL061998,980913,1998,12,20,9999,9999,18.2,-60,163
FRAN,AL061998,980913,1998,18,20,9999,9999,22.2,-34,9999
GEOR,AL071998,980915,1998,12,30,5,9999,9.3,-110,9999
GEOR,AL071998,980915,1998,18,30,5,9999,5.7,-111,9999
GEOR,AL071998,980916,1998,0,30,15,0,4.1,-112,9999
GEOR,AL071998,980916,1998,6,30,20,0,3.3,-107,9999
GEOR,AL071998,980916,1998,12,35,20,5,4.3,-99,9999
GEOR,AL071998,980916,1998,18,35,30,5,8.7,-95,-65
GEOR,AL071998,980917,1998,0,45,25,10,4.7,-83,9999
GEOR,AL071998,980917,1998,6,50,30,15,8.9,-81,-46
GEOR,AL071998,980917,1998,12,55,30,10,8.5,-78,11
GEOR,AL071998,980917,1998,18,65,25,15,13.4,-67,-33
GEOR,AL071998,980918,1998,0,70,20,15,13.0,-59,-113
GEOR,AL071998,980918,1998,6,80,15,15,11.1,-51,-108
GEOR,AL071998,980918,1998,12,85,25,15,14.4,-48,-48
GEOR,AL071998,980918,1998,18,90,35,10,5.7,-43,-76
GEOR,AL071998,980919,1998,0,90,40,5,8.0,-51,-96
GEOR,AL071998,980919,1998,6,95,40,5,8.8,-46,-102
GEOR,AL071998,980919,1998,12,110,20,20,11.4,-29,-73
GEOR,AL071998,980919,1998,18,125,-10,30,10.1,-8,-81
GEOR,AL071998,980920,1998,0,130,-30,20,10.0,-1,-65
GEOR,AL071998,980920,1998,6,135,-35,10,17.6,-3,-86
GEOR,AL071998,980920,1998,12,130,-35,0,20.6,-12,-107
GEOR,AL071998,980920,1998,18,115,-25,-20,25.2,-24,-127
GEOR,AL071998,980921,1998,0,100,-10,-30,35.8,-40,-110
GEOR,AL071998,980921,1998,6,100,-5,-15,44.8,-41,-83
GEOR,AL071998,980921,1998,12,95,10,-5,34.0,-50,-81
GEOR,AL071998,980921,1998,18,90,5,-10,21.3,-55,-117
GEOR,AL071998,980922,1998,0,90,-20,9999,21.7,-55,-163
GEOR,AL071998,980922,1998,6,95,-30,9999,24.2,-52,-193
GEOR,AL071998,980922,1998,12,105,-40,9999,7.2,-37,-114
